protein,ligand,short_name,category,DG,distance,is_productive
A12,53_Pyridoxal phosphate,Pyridoxal phosphate,Other,-7.06,3.85,True
A12,57_S-3-oxopropylglutathione,S-3-oxopropyl-GSH,Other,-8.23,6.977,False
A12,58_S-(4-oxobutan-2-yl)glutathione,S-4-oxobutyl-GSH,Other,-8.36,6.553,False
A12,5_butyraldehyde,butyraldehyde,Short-chain,-6.2,5.222,False
A12,60_S-Formylglutathione,S-formyl-GSH,Other,-7.52,6.213,False
A12,6_amylaldehyde,amylaldehyde,Short-chain,-6.46,5.572,False
A12,7_glutaraldehyde,glutaraldehyde,Medium-chain,-6.39,1.605,True
A12,8_hexanal,hexanal,Medium-chain,-6.69,5.566,False
A12,9_2-hydroxypropionaldehyde,2-hydroxypropionaldeh…,Short-chain,-5.94,5.158,False
A13,10_4-guanidinobutyraldehyde,γ-guanidinobutyr-ald.,Semialdehyde,-5.56,8.034,False
A13,11_prop-2-enal,prop-2-enal,"α,β-Unsaturated",-5.99,4.42,False
A13,12_prop-2-ynal,prop-2-ynal,"α,β-Unsaturated",-5.96,3.631,True
A13,13_(2E)-but-2-enal,(2E)-but-2-enal,"α,β-Unsaturated",-6.23,3.778,True
A13,14_trans-2-Hexenal,trans-2-Hexenal,"α,β-Unsaturated",-6.76,3.023,True
A13,15_heptanal,heptanal,Medium-chain,-6.98,7.961,False
A13,16_octanaldehyde,octanaldehyde,Medium-chain,-7.15,1.92,True
A13,17_nonanal,nonanal,Medium-chain,-7.42,7.132,False
A13,18_decanal,decanal,Medium-chain,-7.38,1.302,True
A13,19_dodecanal,dodecanal,Medium-chain,-8.24,6.945,False
A13,20_Citral,Citral,"α,β-Unsaturated",-7.82,3.119,True
A13,21_cis-2-Octenal,cis-2-Octenal,"α,β-Unsaturated",-7.16,3.253,True
A13,22_trans-2-Octenal,trans-2-Octenal,"α,β-Unsaturated",-6.95,1.382,True
A13,23_4-Hydroxynonenal,4-HNE,"α,β-Unsaturated",-7.38,11.468,False
A13,24_Tetradecanal,Tetradecanal,Medium-chain,-8.43,7.434,False
A13,25_hexadecanal,hexadecanal,Medium-chain,-9.06,2.092,True
A13,26_trans-2-hexadecenal,t-2-hexadecenal,"α,β-Unsaturated",-8.8,5.451,False
A13,27_Benzaldehyde,benzald.,Aromatic,-6.9,4.134,False
A13,28_Phenylacetaldehyde,phenylacetald.,Aromatic,-7.29,2.953,True
A13,29_Salicylaldehyde,salicylald.,Aromatic,-6.96,6.249,False
A13,2_acetaldehyde,acetaldehyde,Short-chain,-5.73,3.418,True
A13,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal","3,4-(OH)₂-cinnamald.",Aromatic,-7.46,8.782,False
A13,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",β-carotene ald.,Retinoid,-9.67,8.769,False
A13,32_9-cis-Retinal,9-cis-retinal,Retinoid,-9.66,2.954,True
A13,34_4-hydroxy-2-nonenal,4-OH-2-nonenal,"α,β-Unsaturated",-7.4,6.727,False
A13,35_Cinnamaldehyde,cinnamald.,Aromatic,-7.38,8.499,False
A13,36_3-(4-Isopropylphenyl)-2-methylpropanal,iPr-Ph methylpropanal,Aromatic,-8.26,14.103,False
A13,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",DHF-OH-acetald.,Aromatic,-6.59,3.078,True
A13,39_4-nitrobenzaldehyde,4-NO₂-benzald.,Aromatic,-6.72,3.057,True
A13,3_propylaldehyde,propylaldehyde,Short-chain,-5.96,4.039,False
A13,40_Furan-2-carbaldehyde,furan-2-carbald.,Aromatic,-7.88,13.516,False
