protein,ligand,distance,DG,quad
A9,21_cis-2-Octenal,1.257,-7.11,Productive high-affinity
A9,22_trans-2-Octenal,1.74,-7.16,Productive high-affinity
A9,23_4-Hydroxynonenal,2.964,-7.37,Productive high-affinity
A9,24_Tetradecanal,1.71,-8.35,Productive high-affinity
A9,25_hexadecanal,1.438,-8.6,Productive high-affinity
A9,26_trans-2-hexadecenal,1.614,-8.44,Productive high-affinity
A9,27_Benzaldehyde,2.418,-6.89,Productive low-affinity
A9,28_Phenylacetaldehyde,2.152,-7.16,Productive high-affinity
A9,29_Salicylaldehyde,2.294,-6.88,Productive low-affinity
A9,2_acetaldehyde,2.633,-5.68,Productive low-affinity
A9,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",2.763,-7.44,Productive high-affinity
A9,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",1.835,-9.35,Productive high-affinity
A9,32_9-cis-Retinal,5.125,-9.37,High-affinity non-productive
A9,34_4-hydroxy-2-nonenal,2.733,-7.35,Productive high-affinity
A9,35_Cinnamaldehyde,2.011,-7.42,Productive high-affinity
A9,36_3-(4-Isopropylphenyl)-2-methylpropanal,2.101,-8.32,Productive high-affinity
A9,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",2.924,-6.69,Productive low-affinity
A9,39_4-nitrobenzaldehyde,2.023,-6.63,Productive low-affinity
A9,3_propylaldehyde,2.375,-5.93,Productive low-affinity
A9,40_Furan-2-carbaldehyde,1.963,-7.97,Productive high-affinity
A9,41_Indole-3-acetaldehyde,2.776,-7.59,Productive high-affinity
A9,42_Glutamate-5-semialdehyde,4.303,-6.34,Neither
A9,43_Glutamate-1-semialdehyde,2.941,-6.25,Productive low-affinity
A9,44_glutarate semialdehyde,6.194,-6.43,Neither
A9,45_adipate semialdehyde,7.153,-6.66,Neither
A9,46_Succinic semialdehyde,3.974,-6.21,Productive low-affinity
A9,47_methylmalonate semialdehyde,3.086,-6.17,Productive low-affinity
A9,48_alpha-aminoadipate semialdehyde,6.962,-6.55,Neither
A9,49_2-Aminomuconic semialdehyde,7.803,-6.46,Neither
A9,4_malonaldehyde,3.818,-5.9,Productive low-affinity
A9,50_10-formyltetrahydrofolate,15.536,-8.05,High-affinity non-productive
A9,52_Triose phosphate,5.304,-6.11,Neither
A9,53_Pyridoxal phosphate,7.112,-6.82,Neither
A9,57_S-3-oxopropylglutathione,6.001,-8.19,High-affinity non-productive
A9,58_S-(4-oxobutan-2-yl)glutathione,6.521,-8.21,High-affinity non-productive
A9,5_butyraldehyde,2.17,-6.2,Productive low-affinity
A9,60_S-Formylglutathione,4.076,-7.58,High-affinity non-productive
A9,6_amylaldehyde,2.554,-6.4,Productive low-affinity
A9,7_glutaraldehyde,1.781,-6.4,Productive low-affinity
A9,8_hexanal,2.442,-6.65,Productive low-affinity
A9,9_2-hydroxypropionaldehyde,2.403,-5.94,Productive low-affinity
