protein,ligand,confidence,DG,category
A9,19_dodecanal,-0.68,-8.06,Medium-chain
A9,1_formaldehyde,0.21,-5.32,Short-chain
A9,20_Citral,-0.2,-7.65,"α,β-Unsaturated"
A9,21_cis-2-Octenal,-0.59,-7.11,"α,β-Unsaturated"
A9,22_trans-2-Octenal,-0.49,-7.16,"α,β-Unsaturated"
A9,23_4-Hydroxynonenal,-0.09,-7.37,"α,β-Unsaturated"
A9,24_Tetradecanal,-0.54,-8.35,Medium-chain
A9,25_hexadecanal,-0.52,-8.6,Medium-chain
A9,26_trans-2-hexadecenal,-0.82,-8.44,"α,β-Unsaturated"
A9,27_Benzaldehyde,-0.14,-6.89,Aromatic
A9,28_Phenylacetaldehyde,-0.18,-7.16,Aromatic
A9,29_Salicylaldehyde,-0.79,-6.88,Aromatic
A9,2_acetaldehyde,0.14,-5.68,Short-chain
A9,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-0.23,-7.44,Aromatic
A9,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-0.91,-9.35,Retinoid
A9,32_9-cis-Retinal,-0.63,-9.37,Retinoid
A9,33_11-cis-Retinol,-1.13,-9.14,Retinoid
A9,34_4-hydroxy-2-nonenal,-0.31,-7.35,"α,β-Unsaturated"
A9,35_Cinnamaldehyde,0.08,-7.42,Aromatic
A9,36_3-(4-Isopropylphenyl)-2-methylpropanal,-0.52,-8.32,Aromatic
A9,37_thiobenzaldehyde,-0.07,-7.17,Aromatic
A9,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-0.84,-6.69,Aromatic
A9,39_4-nitrobenzaldehyde,-0.73,-6.63,Aromatic
A9,3_propylaldehyde,0.18,-5.93,Short-chain
A9,40_Furan-2-carbaldehyde,-0.91,-7.97,Aromatic
A9,41_Indole-3-acetaldehyde,-0.34,-7.59,Aromatic
A9,42_Glutamate-5-semialdehyde,-0.13,-6.34,Semialdehyde
A9,43_Glutamate-1-semialdehyde,-0.35,-6.25,Semialdehyde
