x,xend,y,yend
51.0,52.5,1.2745718235287222,1.2745718235287222
52.5,52.5,1.2745718235287222,0.9436100889668361
48.75,48.75,1.014149890302217,1.7067610650976706
48.75,51.75,1.7067610650976706,1.7067610650976706
51.75,51.75,1.7067610650976706,1.2745718235287222
47.0,47.0,0.0,1.7434216494064327
47.0,50.25,1.7434216494064327,1.7434216494064327
50.25,50.25,1.7434216494064327,1.7067610650976706
55.0,55.0,0.0,0.33451457367355486
55.0,56.0,0.33451457367355486,0.33451457367355486
56.0,56.0,0.33451457367355486,0.0
57.0,57.0,0.0,0.5717516943569122
57.0,58.0,0.5717516943569122,0.5717516943569122
58.0,58.0,0.5717516943569122,0.0
55.5,55.5,0.33451457367355486,1.4522396496446457
55.5,57.5,1.4522396496446457,1.4522396496446457
57.5,57.5,1.4522396496446457,0.5717516943569122
54.0,54.0,0.0,2.3836023158236785
54.0,56.5,2.3836023158236785,2.3836023158236785
56.5,56.5,2.3836023158236785,1.4522396496446457
48.625,48.625,1.7434216494064327,3.8149907320613883
48.625,55.25,3.8149907320613883,3.8149907320613883
55.25,55.25,3.8149907320613883,2.3836023158236785
44.75,44.75,1.487100086297712,6.921156936042798
44.75,51.9375,6.921156936042798,6.921156936042798
51.9375,51.9375,6.921156936042798,3.8149907320613883
33.9296875,33.9296875,2.7173366490098867,11.794057302178027
33.9296875,48.34375,11.794057302178027,11.794057302178027
48.34375,48.34375,11.794057302178027,6.921156936042798
9.70703125,9.70703125,5.477700727581122,21.572815870646696
9.70703125,41.13671875,21.572815870646696,21.572815870646696
41.13671875,41.13671875,21.572815870646696,11.794057302178027
