protein,ligand,DG,col_index,lig_num,category
A14,3_propylaldehyde,-6.07,26,3,Short-chain
A8,28_Phenylacetaldehyde,-7.2,27,28,Aromatic
A9,28_Phenylacetaldehyde,-7.16,27,28,Aromatic
A10,28_Phenylacetaldehyde,-6.98,27,28,Aromatic
A11,28_Phenylacetaldehyde,-6.78,27,28,Aromatic
A12,28_Phenylacetaldehyde,-7.15,27,28,Aromatic
A13,28_Phenylacetaldehyde,-7.29,27,28,Aromatic
A14,28_Phenylacetaldehyde,-7.33,27,28,Aromatic
A8,16_octanaldehyde,-7.2,28,16,Medium-chain
A9,16_octanaldehyde,-7.13,28,16,Medium-chain
A10,16_octanaldehyde,-7.05,28,16,Medium-chain
A11,16_octanaldehyde,-6.69,28,16,Medium-chain
A12,16_octanaldehyde,-7.14,28,16,Medium-chain
A13,16_octanaldehyde,-7.15,28,16,Medium-chain
A14,16_octanaldehyde,-7.44,28,16,Medium-chain
A8,21_cis-2-Octenal,-7.23,29,21,"α,β-Unsaturated"
A9,21_cis-2-Octenal,-7.11,29,21,"α,β-Unsaturated"
A10,21_cis-2-Octenal,-7.07,29,21,"α,β-Unsaturated"
A11,21_cis-2-Octenal,-6.69,29,21,"α,β-Unsaturated"
A12,21_cis-2-Octenal,-7.27,29,21,"α,β-Unsaturated"
A13,21_cis-2-Octenal,-7.16,29,21,"α,β-Unsaturated"
A14,21_cis-2-Octenal,-7.46,29,21,"α,β-Unsaturated"
A8,22_trans-2-Octenal,-7.23,30,22,"α,β-Unsaturated"
A9,22_trans-2-Octenal,-7.16,30,22,"α,β-Unsaturated"
A10,22_trans-2-Octenal,-7.03,30,22,"α,β-Unsaturated"
A11,22_trans-2-Octenal,-6.71,30,22,"α,β-Unsaturated"
A12,22_trans-2-Octenal,-7.29,30,22,"α,β-Unsaturated"
A13,22_trans-2-Octenal,-6.95,30,22,"α,β-Unsaturated"
A14,22_trans-2-Octenal,-7.09,30,22,"α,β-Unsaturated"
A8,37_thiobenzaldehyde,-7.22,31,37,Aromatic
A9,37_thiobenzaldehyde,-7.17,31,37,Aromatic
A10,37_thiobenzaldehyde,-7.06,31,37,Aromatic
A11,37_thiobenzaldehyde,-6.69,31,37,Aromatic
A12,37_thiobenzaldehyde,-7.11,31,37,Aromatic
A13,37_thiobenzaldehyde,-7.41,31,37,Aromatic
A14,37_thiobenzaldehyde,-6.97,31,37,Aromatic
A8,53_Pyridoxal phosphate,-6.65,32,53,Other
A9,53_Pyridoxal phosphate,-6.82,32,53,Other
A10,53_Pyridoxal phosphate,-6.68,32,53,Other
A11,53_Pyridoxal phosphate,-6.91,32,53,Other
A12,53_Pyridoxal phosphate,-7.06,32,53,Other
A13,53_Pyridoxal phosphate,-6.96,32,53,Other
A14,53_Pyridoxal phosphate,-6.89,32,53,Other
A8,15_heptanal,-6.98,33,15,Medium-chain
A9,15_heptanal,-6.91,33,15,Medium-chain
A10,15_heptanal,-6.87,33,15,Medium-chain
A11,15_heptanal,-6.63,33,15,Medium-chain
A12,15_heptanal,-6.97,33,15,Medium-chain
A13,15_heptanal,-6.98,33,15,Medium-chain
A14,15_heptanal,-7.03,33,15,Medium-chain
A8,29_Salicylaldehyde,-7.0,34,29,Aromatic
A9,29_Salicylaldehyde,-6.88,34,29,Aromatic
A10,29_Salicylaldehyde,-6.95,34,29,Aromatic
A11,29_Salicylaldehyde,-6.69,34,29,Aromatic
A12,29_Salicylaldehyde,-6.98,34,29,Aromatic
A13,29_Salicylaldehyde,-6.96,34,29,Aromatic
A14,29_Salicylaldehyde,-7.18,34,29,Aromatic
A8,35_Cinnamaldehyde,-7.51,35,35,Aromatic
A9,35_Cinnamaldehyde,-7.42,35,35,Aromatic
A10,35_Cinnamaldehyde,-6.72,35,35,Aromatic
A11,35_Cinnamaldehyde,-6.99,35,35,Aromatic
A12,35_Cinnamaldehyde,-7.54,35,35,Aromatic
A13,35_Cinnamaldehyde,-7.38,35,35,Aromatic
A14,35_Cinnamaldehyde,-7.04,35,35,Aromatic
A8,56_S-hydroxy-methylglutathione,-7.73,36,56,Other
