protein,ligand,DG,is_strong,lig_num,category,short_name,n_prots
A13,50_10-formyltetrahydrofolate,-7.29,1,50,Other,10-formyl-THF,7.0
A13,52_Triose phosphate,-6.12,0,52,Other,Triose phosphate,0.0
A13,53_Pyridoxal phosphate,-6.96,0,53,Other,Pyridoxal phosphate,1.0
A13,57_S-3-oxopropylglutathione,-7.78,1,57,Other,S-3-oxopropyl-GSH,7.0
A13,58_S-(4-oxobutan-2-yl)glutathione,-7.76,1,58,Other,S-4-oxobutyl-GSH,7.0
A13,5_butyraldehyde,-6.28,0,5,Short-chain,butyraldehyde,0.0
A13,60_S-Formylglutathione,-7.09,1,60,Other,S-formyl-GSH,7.0
A13,6_amylaldehyde,-6.49,0,6,Short-chain,amylaldehyde,0.0
A13,7_glutaraldehyde,-6.46,0,7,Medium-chain,glutaraldehyde,0.0
A13,8_hexanal,-6.75,0,8,Medium-chain,hexanal,0.0
A13,9_2-hydroxypropionaldehyde,-6.02,0,9,Short-chain,2-hydroxypropionaldeh…,0.0
A14,10_4-guanidinobutyraldehyde,-6.1,0,10,Semialdehyde,γ-guanidinobutyr-ald.,0.0
A14,11_prop-2-enal,-6.09,0,11,"α,β-Unsaturated",prop-2-enal,0.0
A14,12_prop-2-ynal,-6.06,0,12,"α,β-Unsaturated",prop-2-ynal,0.0
A14,13_(2E)-but-2-enal,-6.33,0,13,"α,β-Unsaturated",(2E)-but-2-enal,0.0
A14,14_trans-2-Hexenal,-6.56,0,14,"α,β-Unsaturated",trans-2-Hexenal,0.0
A14,15_heptanal,-7.03,1,15,Medium-chain,heptanal,1.0
A14,16_octanaldehyde,-7.44,1,16,Medium-chain,octanaldehyde,6.0
A14,17_nonanal,-7.07,1,17,Medium-chain,nonanal,6.0
A14,18_decanal,-7.5,1,18,Medium-chain,decanal,6.0
A14,19_dodecanal,-7.69,1,19,Medium-chain,dodecanal,7.0
A14,20_Citral,-8.04,1,20,"α,β-Unsaturated",Citral,7.0
A14,21_cis-2-Octenal,-7.46,1,21,"α,β-Unsaturated",cis-2-Octenal,6.0
A14,22_trans-2-Octenal,-7.09,1,22,"α,β-Unsaturated",trans-2-Octenal,5.0
A14,23_4-Hydroxynonenal,-7.06,1,23,"α,β-Unsaturated",4-HNE,7.0
A14,24_Tetradecanal,-7.88,1,24,Medium-chain,Tetradecanal,7.0
A14,25_hexadecanal,-8.47,1,25,Medium-chain,hexadecanal,7.0
A14,26_trans-2-hexadecenal,-8.55,1,26,"α,β-Unsaturated",t-2-hexadecenal,7.0
A14,27_Benzaldehyde,-5.89,0,27,Aromatic,benzald.,0.0
A14,28_Phenylacetaldehyde,-7.33,1,28,Aromatic,phenylacetald.,5.0
A14,29_Salicylaldehyde,-7.18,1,29,Aromatic,salicylald.,2.0
A14,2_acetaldehyde,-5.63,0,2,Short-chain,acetaldehyde,0.0
A14,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-7.64,1,30,Aromatic,"3,4-(OH)₂-cinnamald.",7.0
A14,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-9.33,1,31,Retinoid,β-carotene ald.,7.0
A14,32_9-cis-Retinal,-8.82,1,32,Retinoid,9-cis-retinal,7.0
A14,34_4-hydroxy-2-nonenal,-7.28,1,34,"α,β-Unsaturated",4-OH-2-nonenal,7.0
A14,35_Cinnamaldehyde,-7.04,1,35,Aromatic,cinnamald.,5.0
A14,36_3-(4-Isopropylphenyl)-2-methylpropanal,-8.04,1,36,Aromatic,iPr-Ph methylpropanal,7.0
A14,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.68,0,38,Aromatic,DHF-OH-acetald.,0.0
A14,39_4-nitrobenzaldehyde,-6.69,0,39,Aromatic,4-NO₂-benzald.,0.0
A14,3_propylaldehyde,-6.07,0,3,Short-chain,propylaldehyde,0.0
A14,40_Furan-2-carbaldehyde,-7.69,1,40,Aromatic,furan-2-carbald.,7.0
A14,41_Indole-3-acetaldehyde,-7.13,1,41,Aromatic,indole-3-acetald.,7.0
A14,42_Glutamate-5-semialdehyde,-6.07,0,42,Semialdehyde,Glu-5-semiald.,0.0
A14,43_Glutamate-1-semialdehyde,-6.19,0,43,Semialdehyde,Glu-1-semiald.,0.0
A14,44_glutarate semialdehyde,-6.39,0,44,Semialdehyde,glutarate-semiald.,0.0
A14,45_adipate semialdehyde,-6.64,0,45,Semialdehyde,adipate-semiald.,0.0
A14,46_Succinic semialdehyde,-6.16,0,46,Semialdehyde,succinic-semiald.,0.0
A14,47_methylmalonate semialdehyde,-6.3,0,47,Semialdehyde,MeMal-semiald.,0.0
A14,48_alpha-aminoadipate semialdehyde,-6.3,0,48,Semialdehyde,α-AASA,0.0
A14,49_2-Aminomuconic semialdehyde,-6.59,0,49,Semialdehyde,2-AM-semiald.,0.0
A14,4_malonaldehyde,-6.09,0,4,Short-chain,malonaldehyde,0.0
A14,50_10-formyltetrahydrofolate,-7.29,1,50,Other,10-formyl-THF,7.0
A14,52_Triose phosphate,-6.31,0,52,Other,Triose phosphate,0.0
A14,53_Pyridoxal phosphate,-6.89,0,53,Other,Pyridoxal phosphate,1.0
A14,57_S-3-oxopropylglutathione,-7.57,1,57,Other,S-3-oxopropyl-GSH,7.0
A14,58_S-(4-oxobutan-2-yl)glutathione,-7.5,1,58,Other,S-4-oxobutyl-GSH,7.0
A14,5_butyraldehyde,-6.39,0,5,Short-chain,butyraldehyde,0.0
A14,60_S-Formylglutathione,-7.08,1,60,Other,S-formyl-GSH,7.0
A14,6_amylaldehyde,-6.63,0,6,Short-chain,amylaldehyde,0.0
A14,7_glutaraldehyde,-6.36,0,7,Medium-chain,glutaraldehyde,0.0
A14,8_hexanal,-6.6,0,8,Medium-chain,hexanal,0.0
A14,9_2-hydroxypropionaldehyde,-6.04,0,9,Short-chain,2-hydroxypropionaldeh…,0.0
A8,10_4-guanidinobutyraldehyde,-5.92,0,10,Semialdehyde,γ-guanidinobutyr-ald.,0.0
A8,11_prop-2-enal,-6.0,0,11,"α,β-Unsaturated",prop-2-enal,0.0
A8,12_prop-2-ynal,-5.99,0,12,"α,β-Unsaturated",prop-2-ynal,0.0
A8,13_(2E)-but-2-enal,-6.27,0,13,"α,β-Unsaturated",(2E)-but-2-enal,0.0
A8,14_trans-2-Hexenal,-6.79,0,14,"α,β-Unsaturated",trans-2-Hexenal,0.0
