protein,ligand,category,DG_prediction_kcalmol,CYS_SG_to_aldC_distance_A,LE,N_total,N_CC,N_CA,N_CP,N_PA
A12,3_propylaldehyde,Short-chain,-5.92,5.145,1.48,29.257519214239707,2.531067987223877,3.796601980835815,9.171939698472007,13.757909547708008
A12,40_Furan-2-carbaldehyde,Aromatic,-7.91,5.11,0.46529411764705886,76.82792646020319,13.625944943893442,20.438917415840162,17.105225640187836,25.65783846028175
A12,41_Indole-3-acetaldehyde,Aromatic,-7.62,5.292,0.635,75.84102193403406,9.88284356822398,14.824265352335967,20.45356520538965,30.68034780808447
A12,42_Glutamate-5-semialdehyde,Semialdehyde,-6.19,1.536,0.6877777777777778,41.65111458382627,1.9123415075920773,2.8685122613881155,14.748104325938431,22.122156488907645
A12,43_Glutamate-1-semialdehyde,Semialdehyde,-6.26,5.41,0.6955555555555555,44.101180147580735,2.024832184509257,3.037248276763885,15.615639874523039,23.423459811784557
A12,44_glutarate semialdehyde,Semialdehyde,-6.4,1.645,0.8,45.04667994385383,3.6640969466330713,5.496145419949606,14.354575030908462,21.531862546362692
A12,45_adipate semialdehyde,Semialdehyde,-6.61,1.862,0.7344444444444445,50.31327356658109,4.746721939183149,7.120082908774724,15.378587487449288,23.067881231173928
A12,46_Succinic semialdehyde,Semialdehyde,-6.19,2.357,0.8842857142857143,39.458541275424736,2.696465182291609,4.044697773437413,13.086951327878285,19.630426991817426
A12,47_methylmalonate semialdehyde,Semialdehyde,-6.17,3.169,0.8814285714285715,39.237833588658724,2.4929103606661176,3.7393655409991764,13.202223074797372,19.803334612196057
A12,48_alpha-aminoadipate semialdehyde,Semialdehyde,-6.43,2.138,0.643,48.48887638049186,2.856802966750646,4.285204450125969,16.5387475854461,24.808121378169144
A12,49_2-Aminomuconic semialdehyde,Semialdehyde,-6.47,1.965,0.647,50.242441998689436,2.794652098773769,4.191978148160653,17.30232470070201,25.95348705105301
A12,4_malonaldehyde,Short-chain,-5.95,3.096,1.19,32.195370454843996,1.9041415266009905,2.8562122899014852,10.97400665533661,16.461009983004914
A12,50_10-formyltetrahydrofolate,Other,-7.99,14.408,0.23500000000000001,105.59921657389239,4.466494863687074,6.699742295530611,37.77319176586988,56.65978764880482
A12,52_Triose phosphate,Other,-6.05,2.02,0.605,39.08143006768903,0.8539292469790049,1.2808938704685071,14.778642780096607,22.16796417014491
A12,53_Pyridoxal phosphate,Other,-7.06,3.85,0.44125,65.89656992103338,5.529644768353595,8.294467152530391,20.828983200059756,31.243474800089633
A12,57_S-3-oxopropylglutathione,Other,-8.23,6.977,0.3429166666666667,125.38981480661936,0.7786707499491236,1.1680061249236853,49.377255172698625,74.06588275904792
A12,58_S-(4-oxobutan-2-yl)glutathione,Other,-8.36,6.553,0.3344,125.95342242438737,2.4132675736512788,3.619901360476918,47.96810139610368,71.95215209415551
A12,5_butyraldehyde,Short-chain,-6.2,5.222,1.24,37.07646625683165,3.689602745438174,5.53440411815726,11.140983757294487,16.711475635941728
A12,60_S-Formylglutathione,Other,-7.52,6.213,0.3418181818181818,99.52606635071088,0.0,0.0,39.810426540284354,59.715639810426524
A12,6_amylaldehyde,Short-chain,-6.46,5.572,1.0766666666666667,43.86204725204274,4.935211349975677,7.402817024963514,12.609607550841421,18.91441132626213
A12,7_glutaraldehyde,Medium-chain,-6.39,1.605,0.9128571428571428,44.34006983401501,3.7755569463663785,5.6633354195495675,13.960470987239626,20.940706480859436
A12,8_hexanal,Medium-chain,-6.69,5.566,0.9557142857142857,49.40535827713402,6.201360570945862,9.302040856418794,13.560782739907745,20.341174109861615
A12,9_2-hydroxypropionaldehyde,Short-chain,-5.94,5.158,1.1880000000000002,32.395923958633034,1.69117521705384,2.5367628255807597,11.267194366399375,16.90079154959906
A13,10_4-guanidinobutyraldehyde,Semialdehyde,-5.56,8.034,0.6177777777777778,19.827357533000853,0.8188037749211589,1.2282056623817381,7.112139238279183,10.668208857418774
A13,11_prop-2-enal,"α,β-Unsat",-5.99,4.42,1.4975,32.0219762618179,2.531123743654959,3.7966856154824384,10.2776667610722,15.4165001416083
A13,12_prop-2-ynal,"α,β-Unsat",-5.96,3.631,1.49,32.419661714338204,1.9651718275841341,2.947757741376201,11.002692858151148,16.50403928722672
A13,13_(2E)-but-2-enal,"α,β-Unsat",-6.23,3.778,1.246,38.63440992880465,3.5561686525800393,5.334252978870058,11.897595318941823,17.846392978412734
A13,14_trans-2-Hexenal,"α,β-Unsat",-6.76,3.023,0.9657142857142856,52.25936226474972,6.169391913227919,9.254087869841879,14.73435299267197,22.101529489007955
A13,15_heptanal,Medium-chain,-6.98,7.961,0.8725,56.366171961461944,7.808030027341582,11.712045041012372,14.738438757243197,22.107658135864792
A13,16_octanaldehyde,Medium-chain,-7.15,1.92,0.7944444444444445,59.64255302528112,9.037437251410765,13.556155877116147,14.81958395870168,22.229375938052517
A13,17_nonanal,Medium-chain,-7.42,7.132,0.742,65.4607391913229,10.770255419148361,16.15538312872254,15.4140402573808,23.121060386071196
A13,18_decanal,Medium-chain,-7.38,1.302,0.6709090909090909,62.81446823065893,11.151661926549655,16.727492889824482,13.97412536571392,20.96118804857088
A13,19_dodecanal,Medium-chain,-8.24,6.945,0.6338461538461538,81.54916840990597,16.59851773815227,24.897776607228405,16.02114962581012,24.031724438715177
A13,20_Citral,"α,β-Unsat",-7.82,3.119,0.7109090909090909,76.5636912170043,12.449256191884903,18.673884287827352,18.17622029491682,27.26433044237523
