protein,ligand,catalytic_CYS_resseq,is_aldehyde,aldehyde_C_idx_in_sdf,CYS_SG_to_aldC_distance_A
A8,16_octanaldehyde,244,True,8,2.059
A8,17_nonanal,244,True,9,1.647
A8,18_decanal,244,True,10,2.0
A8,19_dodecanal,244,True,12,2.514
A8,1_formaldehyde,244,False,,
A8,20_Citral,244,True,10,1.592
A8,21_cis-2-Octenal,244,True,1,1.686
A8,22_trans-2-Octenal,244,True,8,1.858
A8,23_4-Hydroxynonenal,244,True,10,2.134
A8,24_Tetradecanal,244,True,14,2.096
A8,25_hexadecanal,244,True,16,2.266
A8,26_trans-2-hexadecenal,244,True,16,2.274
A8,27_Benzaldehyde,244,True,7,3.056
A8,28_Phenylacetaldehyde,244,True,8,2.829
A8,29_Salicylaldehyde,244,True,8,2.656
A8,2_acetaldehyde,244,True,2,2.462
A8,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",244,True,11,7.729
A8,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",244,True,20,2.084
A8,32_9-cis-Retinal,244,True,20,2.399
A8,33_11-cis-Retinol,244,False,,
A8,34_4-hydroxy-2-nonenal,244,True,10,2.069
A8,35_Cinnamaldehyde,244,True,9,1.949
A8,36_3-(4-Isopropylphenyl)-2-methylpropanal,244,True,13,1.594
A8,37_thiobenzaldehyde,244,False,,
A8,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",244,True,11,3.249
A8,39_4-nitrobenzaldehyde,244,True,10,2.146
A8,3_propylaldehyde,244,True,3,2.031
A8,40_Furan-2-carbaldehyde,244,True,16,1.747
A8,41_Indole-3-acetaldehyde,244,True,11,2.907
A8,42_Glutamate-5-semialdehyde,244,True,8,6.207
A8,43_Glutamate-1-semialdehyde,244,True,7,1.984
A8,44_glutarate semialdehyde,244,True,7,5.852
A8,45_adipate semialdehyde,244,True,8,6.897
A8,46_Succinic semialdehyde,244,True,6,4.459
A8,47_methylmalonate semialdehyde,244,True,6,4.347
A8,48_alpha-aminoadipate semialdehyde,244,True,9,7.252
A8,49_2-Aminomuconic semialdehyde,244,True,9,6.89
A8,4_malonaldehyde,244,True,3,4.389
A8,50_10-formyltetrahydrofolate,244,True,21,14.365
A8,51_6R-Tetrahydrofolic acid,244,False,,
A8,52_Triose phosphate,244,True,9,5.858
A8,53_Pyridoxal phosphate,244,True,15,16.654
A8,55_Ethanol,244,False,,
A8,56_S-hydroxy-methylglutathione,244,False,,
A8,57_S-3-oxopropylglutathione,244,True,23,4.168
A8,58_S-(4-oxobutan-2-yl)glutathione,244,True,23,6.12
A8,59_4-Hydroxynonenal_glutathione,244,False,,
A8,5_butyraldehyde,244,True,4,2.208
A8,60_S-Formylglutathione,244,True,21,5.307
A8,6_amylaldehyde,244,True,5,2.558
A8,7_glutaraldehyde,244,True,5,7.02
A8,8_hexanal,244,True,6,2.313
A8,9_2-hydroxypropionaldehyde,244,True,4,1.99
A9,10_4-guanidinobutyraldehyde,241,True,7,2.303
A9,11_prop-2-enal,241,True,2,2.023
A9,12_prop-2-ynal,241,True,1,2.506
A9,13_(2E)-but-2-enal,241,True,4,3.093
A9,14_trans-2-Hexenal,241,True,6,2.699
A9,15_heptanal,241,True,7,2.337
A9,16_octanaldehyde,241,True,8,2.197
A9,17_nonanal,241,True,9,2.338
A9,18_decanal,241,True,10,1.598
A9,19_dodecanal,241,True,12,2.521
A9,1_formaldehyde,241,False,,
A9,20_Citral,241,True,10,2.256
A9,21_cis-2-Octenal,241,True,1,1.257
A9,22_trans-2-Octenal,241,True,8,1.74
A9,23_4-Hydroxynonenal,241,True,10,2.964
A9,24_Tetradecanal,241,True,14,1.71
A9,25_hexadecanal,241,True,16,1.438
A9,26_trans-2-hexadecenal,241,True,16,1.614
A9,27_Benzaldehyde,241,True,7,2.418
A9,28_Phenylacetaldehyde,241,True,8,2.152
A9,29_Salicylaldehyde,241,True,8,2.294
A9,2_acetaldehyde,241,True,2,2.633
A9,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",241,True,11,2.763
A9,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",241,True,20,1.835
A9,32_9-cis-Retinal,241,True,20,5.125
A9,33_11-cis-Retinol,241,False,,
A9,34_4-hydroxy-2-nonenal,241,True,10,2.733
A9,35_Cinnamaldehyde,241,True,9,2.011
A9,36_3-(4-Isopropylphenyl)-2-methylpropanal,241,True,13,2.101
A9,37_thiobenzaldehyde,241,False,,
A9,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",241,True,11,2.924
A9,39_4-nitrobenzaldehyde,241,True,10,2.023
A9,3_propylaldehyde,241,True,3,2.375
A9,40_Furan-2-carbaldehyde,241,True,16,1.963
A9,41_Indole-3-acetaldehyde,241,True,11,2.776
A9,42_Glutamate-5-semialdehyde,241,True,8,4.303
A9,43_Glutamate-1-semialdehyde,241,True,7,2.941
A9,44_glutarate semialdehyde,241,True,7,6.194
A9,45_adipate semialdehyde,241,True,8,7.153
A9,46_Succinic semialdehyde,241,True,6,3.974
A9,47_methylmalonate semialdehyde,241,True,6,3.086
A9,48_alpha-aminoadipate semialdehyde,241,True,9,6.962
A9,49_2-Aminomuconic semialdehyde,241,True,9,7.803
A9,4_malonaldehyde,241,True,3,3.818
A9,50_10-formyltetrahydrofolate,241,True,21,15.536
A9,51_6R-Tetrahydrofolic acid,241,False,,
A9,52_Triose phosphate,241,True,9,5.304
A9,53_Pyridoxal phosphate,241,True,15,7.112
A9,55_Ethanol,241,False,,
A9,56_S-hydroxy-methylglutathione,241,False,,
A9,57_S-3-oxopropylglutathione,241,True,23,6.001
A9,58_S-(4-oxobutan-2-yl)glutathione,241,True,23,6.521
A9,59_4-Hydroxynonenal_glutathione,241,False,,
A9,5_butyraldehyde,241,True,4,2.17
A9,60_S-Formylglutathione,241,True,21,4.076
A9,6_amylaldehyde,241,True,5,2.554
A9,7_glutaraldehyde,241,True,5,1.781
A9,8_hexanal,241,True,6,2.442
A9,9_2-hydroxypropionaldehyde,241,True,4,2.403
