protein,ligand,rank1_confidence,DG_prediction_kcalmol,prodigy_rc
A12,13_(2E)-but-2-enal,-0.1,-6.21,0
A12,14_trans-2-Hexenal,-0.59,-6.7,0
A12,15_heptanal,-0.92,-6.97,0
A12,16_octanaldehyde,-0.75,-7.14,0
A12,17_nonanal,-0.81,-7.39,0
A12,18_decanal,-0.67,-7.56,0
A12,19_dodecanal,-0.56,-8.08,0
A12,1_formaldehyde,-0.2,-5.4,0
A12,20_Citral,-0.81,-7.57,0
A12,21_cis-2-Octenal,-0.93,-7.27,0
A12,22_trans-2-Octenal,-0.8,-7.29,0
A12,23_4-Hydroxynonenal,-0.88,-7.31,0
A12,24_Tetradecanal,-0.72,-8.58,0
A12,25_hexadecanal,-0.65,-9.0,0
A12,26_trans-2-hexadecenal,-0.75,-8.95,0
A12,27_Benzaldehyde,-0.15,-6.97,0
A12,28_Phenylacetaldehyde,-0.59,-7.15,0
A12,29_Salicylaldehyde,-0.32,-6.98,0
A12,2_acetaldehyde,-0.09,-5.68,0
A12,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-0.97,-7.39,0
A12,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-1.57,-10.45,0
A12,32_9-cis-Retinal,-0.85,-9.81,0
A12,33_11-cis-Retinol,-1.62,-9.13,0
A12,34_4-hydroxy-2-nonenal,-0.82,-7.5,0
A12,35_Cinnamaldehyde,-0.6,-7.54,0
A12,36_3-(4-Isopropylphenyl)-2-methylpropanal,-1.68,-8.45,0
A12,37_thiobenzaldehyde,-0.2,-7.11,0
A12,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-1.27,-6.61,0
A12,39_4-nitrobenzaldehyde,-0.49,-6.68,0
A12,3_propylaldehyde,-0.06,-5.92,0
A12,40_Furan-2-carbaldehyde,-0.61,-7.91,0
A12,41_Indole-3-acetaldehyde,-0.52,-7.62,0
A12,42_Glutamate-5-semialdehyde,-0.32,-6.19,0
A12,43_Glutamate-1-semialdehyde,-0.44,-6.26,0
A12,44_glutarate semialdehyde,-0.28,-6.4,0
A12,45_adipate semialdehyde,-0.44,-6.61,0
A12,46_Succinic semialdehyde,-0.12,-6.19,0
A12,47_methylmalonate semialdehyde,-0.36,-6.17,0
A12,48_alpha-aminoadipate semialdehyde,-0.46,-6.43,0
A12,49_2-Aminomuconic semialdehyde,-0.21,-6.47,0
A12,4_malonaldehyde,-0.19,-5.95,0
A12,50_10-formyltetrahydrofolate,-1.42,-7.99,0
A12,51_6R-Tetrahydrofolic acid,-1.51,-8.98,0
A12,52_Triose phosphate,-0.65,-6.05,0
A12,53_Pyridoxal phosphate,-0.59,-7.06,0
A12,55_Ethanol,-0.51,-5.75,0
A12,56_S-hydroxy-methylglutathione,-0.38,-7.52,0
A12,57_S-3-oxopropylglutathione,-0.46,-8.23,0
